# Comment about the file


xi_0 = 2
1        0
5        0


xi_1 = 2
-1        0
-5        0


eta_0 = 20
1.000000         0.000000        
0.986361         0.164595        
0.945817         0.324699        
0.879474         0.475947        
0.789141         0.614213        
0.677282         0.735724        
0.546948         0.837166        
0.401695         0.915773        
0.245485         0.969400        
0.082579         0.996584        
-0.082579        0.996584        
-0.245485        0.969400        
-0.401695        0.915773        
-0.546948        0.837166        
-0.677282        0.735724        
-0.789141        0.614213        
-0.879474        0.475947        
-0.945817        0.324699        
-0.986361        0.164595        
-1.000000        0.000000        


eta_1 = 20
5.000000         0.000000        
4.931807         0.822973        
4.729086         1.623497        
4.397369         2.379737        
3.945703         3.071064        
3.386408         3.678620        
2.734741         4.185832        
2.008477         4.578867        
1.227427         4.847001        
0.412897         4.982922        
-0.412897        4.982922        
-1.227427        4.847001        
-2.008477        4.578867        
-2.734741        4.185832        
-3.386408        3.678620        
-3.945703        3.071064        
-4.397369        2.379737        
-4.729086        1.623497        
-4.931807        0.822973        
-5.000000        0.000000



